AI_extracted_product,purchase_count,promotion_count,longchau_matches,top_longchau_matches
Canxi Corbiere,5,0,18,"viên uống bổ sung canxi giúp xương chắc khỏe nutrigrow nutrimed 60v; ống uống canxi-d3-k2 kingphar 6x5 ống; viên uống bổ sung canxi, giảm nguy cơ loãng xương calcium premium jpanwell 120v"
Dung dịch vệ sinh mũi,0,1,324,cốm vi sinh bổ sung lợi khuẩn đường ruột lacto biomin gold+ new hdpharma 20 gói x 5g; livespo clausy 25 ống x 5ml - bào tử lợi khuẩn kháng đa kháng sinh; viên uống hỗ trợ tăng tiết dịch khớp triple care gold vitamins for life 60v
Omega-3 Salmon Oil,6,1,52,omega-3 for kids 300mg nutrimed international 100v; evening primrose oil (epo) 1000mg goodhealth 70v; viên dầu tỏi garlic oil vtv 60v
Decolgen,8,0,6,decolgen united 60ml; decolgen nd 500mg united 30x4; decolgen forte united 30x4
Biozyme,5,1,0,
DHA,6,1,9,viên uống hõ trợ phụ nữ mang thai và phụ nữ cho con bú brauer ultra pure dha for pregnancy & breastfeeding 60v; vitamin d3+ dha hatro 20ml; viên uống bổ sung dha cho phụ nữ mang thai promum dha alg 3x10
Ibuprofen,3,1,7,a.t ibuprofen syrup 100mg an thiên 30 ống x 5ml - hỗn dịch uống; a.t ibuprofen syrup 100mg an thiên 60ml; profen ibuprofen 100mg/10ml cpc1hn 2x5 ống 
Berocca,10,1,2,berocca bayer 10v; berocca performance orange bayer sủi 12x2
Ginkgo Biloba,6,1,5,viên uống bổ não ginkgo 120 premium omexxel 60v; viên uống bổ não omexxel ginkgo 120 60v; viên uống bổ não omexxel ginkgo 120 2x15
Eugica,5,1,6,xịt họng thảo dược eugica 10ml; eugica cold flu mega 10 gói; eugica xanh dhg 10x10
Bright Eyes,7,1,11,"sữa rửa mặt đất sét rosette ghassoul bright giúp sáng da 120g; tinh chất dưỡng sáng da garnier skin naturals bright complete 30x vitamin c booster serum hổ trợ ngừa mụn, mờ thâm 30ml; tinh chất garnier skin naturals bright complete anti acne booster serum làm sáng cho da mụn 30ml"
Sterimar,2,1,7,"dung dịch xịt mũi sterimar hygiene and comfort 50ml - xịt vệ sinh mũi cho trẻ em từ 3 tuổi & người lớn; dung dịch xịt mũi trẻ em sterimar hygiene baby 50ml - vệ sinh mũi cho bé từ 0-3 tuổi; dung dịch xịt mũi trẻ em sterimar blocked nose baby 50ml -  giúp thông mũi, kháng viêm cho trẻ em từ 3 tháng - 3 tuổi"
Royal Jelly,13,1,15,"viên uống cải thiện da, móng, tóc bio hair, nail & skin royal care 30v ; viên uống hỗ trợ tăng cường tuần hoàn não natto gold 3000fu royal care 60v; viên uống tăng đề kháng multivitamin +zn +d3 royal care 60v"
Coldacmin Forte,7,1,43,"siro ho, bổ phế bối mẫu forte mom and baby tất thành 125ml; siro gadopax forte 100ml; brauer black elderberry cold & flu forte 100ml"
Probiotics,6,0,3,men vi sinh probiotics bifina baby 30 gói; probiotics lactomin plus 30 gói mebiphar; merika probiotics davac 20 gói
Paracetamol,6,2,15,paracetamol stada 500mg 10x10; paracetamol choay 500mg sanofi 10x10; paracetamol 500mg quảng bình 10x10
Vitamin Tổng hợp Daily One,0,1,286,"bổ sung vitamin d3 hỗ trợ xương, răng d3 drops dao nordic health 10ml; viên uống bổ sung vitamin và khoáng chất easylife immuvita 100v; viên sủi kudos kids multivitamins plus calcium & d3 hương dưa hấu 20v"
Blackmores Pregnancy,3,1,14,viên uống hõ trợ phụ nữ mang thai và phụ nữ cho con bú brauer ultra pure dha for pregnancy & breastfeeding 60v; optibac pregnancy 30v; blackmores multivitamin for men 50v
Otrivin,5,1,4,otrivin 0.05% nasal drops gsk 10ml; otrivin 0.05% nasal spray haleon 10ml; otrivin 0.1% nasal spray haleon 10ml
Siro ho,0,1,56,"siro ho, bổ phế lábebé 120ml; siro brauer baby kids d3+k2 high potency mk-7 drops 10ml; siro tăng cường sức đề kháng và chiều cao cho trẻ kid grow kenko 100ml"
Bảo Thanh,0,1,136,"ladodetox nosamin 10 gói x 15ml - hỗ trợ giải rượu, bia, bảo vệ tế bào gan; ginkid thanh nhiệt mát gan 4x5 ống 10ml; viên uống bảo vệ gan pharma world milk thistle 60v"
Calcium Nano D3 K2 MK7,8,0,51,"viên uống bổ sung canxi, giảm nguy cơ loãng xương calcium premium jpanwell 120v; viên sủi kudos kids multivitamins plus calcium & d3 hương dưa hấu 20v; viên sủi kudos bone health calcium, d3 & vitamin k2 hương cam 20v"
Vitamin E,13,1,132,"bổ sung vitamin d3 hỗ trợ xương, răng d3 drops dao nordic health 10ml; viên uống bổ sung vitamin và khoáng chất easylife immuvita 100v; viên sủi kudos kids multivitamins plus calcium & d3 hương dưa hấu 20v"
Osla,4,0,3,osla merap 15ml; soslac g3 15g ampharco 15g; osla redi 15ml
Bao Thanh,7,0,40,ginkid thanh nhiệt mát gan 4x5 ống 10ml; viên uống bổ sung khoáng chất cho thanh thiếu niên teen active vitamins for life 60v; viên sủi thanh nhiệt livecool hương chanh 16v
Slimfit Plus,7,1,125,"viên uống hỗ trợ não bộ, thị lực và sức khoẻ tim mạch omega 3 plus kenko 120v; viên sủi kudos kids multivitamins plus calcium & d3 hương dưa hấu 20v; viên sủi kudos daily vitamins plus biotin & ginseng hương cam 20v"
Prospan,12,2,7,prospan engelhard 100ml; prospan 2x10 - kẹo ngậm; prospan forte 100ml
Yumangel,2,1,2,yumangel 1g 20 gói; yumangel f 20 gói yuhan
Vitamin C,4,2,132,"bổ sung vitamin d3 hỗ trợ xương, răng d3 drops dao nordic health 10ml; viên uống bổ sung vitamin và khoáng chất easylife immuvita 100v; viên sủi kudos kids multivitamins plus calcium & d3 hương dưa hấu 20v"
Imunoglukan,6,1,0,
Dung dịch rửa tay,0,1,400,viên uống hỗ trợ tăng tiết dịch khớp triple care gold vitamins for life 60v; viên uống hỗ trợ tăng tiết dịch khớp và giảm đau do lão hóa khớp omexxel arthri 3x10; tê nhức chân tay bảo nguyên htp 3x10
Magie B6,0,1,0,
Loratadine,4,0,2,loratadine 10mg thành nam 10x10; desloratadine 5mg genepharm 2x15
Collagen,16,2,11,nước uống collagen jpanwell hana colla q10 10 chai x 50ml; viên uống hỗ trợ làm đẹp và giảm lão hóa da omexxel collagen 3x10; collagen with vitamin c natures bounty 90v
Enterogermina,4,1,3,enterogermina gut defense sanofi 2x10 ống; enterogermina 2 tỷ sanofi 2x10 5ml; enterogermina 4 tỷ/ ống 5ml sanofi 2x10
Physiodose,4,0,0,
Multivitamin,11,1,8,viên sủi kudos kids multivitamins plus calcium & d3 hương dưa hấu 20v; viên uống tăng đề kháng multivitamin +zn +d3 royal care 60v; morningkids multivitamin 150ml
Iron + Folic Acid,7,0,40,"viên uống hỗ trợ người bị gout, chỉ số acid uric cao-gout aid vitamins for life 30v; viên uống giúp giảm acid uric trong máu, giảm sưng đau khớp do gout uricare jpanwell 60v; viên uống giảm acid uric cho người bị gout goodhealth celery 12000 60v"
Boganic,2,1,5,boganic premium traphaco 30v; boganic forte traphaco 5x10; boganic vbp traphaco 5x20
Listerine,4,1,5,nước súc miệng bạc hà listerine coolmint 750ml; nước súc miệng bạc hà listerine coolmint 250ml; nước súc miệng trà xanh listerine greentea 250ml
Omega-3 Fish Oil,6,2,59,omega-3 for kids 300mg nutrimed international 100v; evening primrose oil (epo) 1000mg goodhealth 70v; viên dầu tỏi garlic oil vtv 60v
"suất/nhà thuốc, cộng hưởng CT cam kết",0,3,53,"viên sủi kudos daily vitamins plus biotin & ginseng hương cam 20v; viên sủi kudos bone health calcium, d3 & vitamin k2 hương cam 20v; siro ho, bổ phế ginkid hocam new 80ml"
Glutathione,7,1,0,
Kẽm Gluconate,0,1,4,"ginkid zinc 4x5 ống 5ml - bổ sung kẽm, tăng đề kháng; siro bổ sung kẽm cho bé special kid zinc eric favre 125ml; siro bổ sung kẽm zinc + lysin hatro 120ml"
Hand Sanitizer,6,0,7,"kem dưỡng da tay reihaku hatomugi hand cream dưỡng ẩm, chống nhăn 65g; dung dịch xịt khuẩn tay natural hand sanitizer diệt khuẩn, khử mùi 500ml; gel rửa tay khô natural hand sanitizer sát khuẩn, làm sạch tay 250ml"
Glucosamine,4,1,7,viên xương khớp triple strength glucosamine 1500mg pharmekal 60v; viên uống bổ xương khớp glucosamine and chondroitin jpanwell 120v; viên uống bổ khớp vitatree glucosamine 1500 plus shark cartilage 100v
